Crotalus viridis Mother Measurements Exp 2 (2022),,,,,,,,,,,,,,,,,,,,,
IndivID,DateofCapture,RookeryCaptureID,HydrationTreatment,SVL(cm),DateOfParturition,TimeOfParturition,LiveOffspring,DeadOffspring,Slugs,Sample#,CEWL&BloodCollectDate,TbCEWL(C),ShedStage,StageOfPregnancy,Mass(g),DateBloodAnalyzed,PlasmaOsmolalityRep1(mmol/kg),PlasmaOsmolalityRep2(mmol/kg),PlasmaOsmolalityRep3(mmol/kg),PlasmaOsmolalityRep4(mmol/kg),Notes
110,8-21-22,1B,C,88.0,NA,NA,NA,NA,NA,1,8-22-22,29.5,APP,DAC,593.1,8-22-22,322,321,317,328,sample 1 slightly hemolyzed
,,,,,,,,,,2,8-29-22,28.7,APP,1WAC,579.2,8-29-22,353,346,343,342,
,,,,,,,,,,3,9-5-22,29.0,APP,2WAC,562.0,9-16-22,357,353,353,NA,
111,8-21-22,1B,W,75.8,NA,NA,NA,NA,NA,1,8-22-22,27.2,APP,DAC,456.7,8-22-22,323,317,317,317,
,,,,,,,,,,2,8-29-22,26.7,APP,1WAC,468.8,8-29-22,318,321,325,326,
,,,,,,,,,,3,9-5-22,28.1,APP,2WAC,478.6,9-16-22,289,288,295,NA,
112,8-21-22,1B,W,83.2,9-4-22,15:30,12,0,0,1,8-22-22,31.9,APP,DAC,507.9,8-22-22,343,341,340,340,
,,,,,,,,,,2,8-29-22,28.3,APP,1WAC,522.3,8-29-22,309,310,310,322,
,,,,,,,,,,3,9-5-22,29.1,APP,DAB,319.7,9-16-22,286,274,285,NA,
113,8-21-22,1B,W,79.0,NA,NA,NA,NA,NA,1,8-22-22,29.7,APP,DAC,488.1,8-22-22,344,344,340,341,
,,,,,,,,,,2,8-29-22,26.8,APP,1WAC,542.3,8-29-22,314,306,304,308,
,,,,,,,,,,3,9-5-22,31.5,APP,2WAC,533.7,9-16-22,297,287,289,NA,
114,8-21-22,1B,C,80.5,9-4-22,14:15,9,0,0,1,8-22-22,30.0,APP,DAC,505.0,8-23-22,328,325,325,322,sample 1 hemolyzed
,,,,,,,,,,2,8-29-22,30.2,APP,1WAC,492.0,8-19-22,341,340,431,342,
,,,,,,,,,,3,9-5-22,29.4,APP,DAB,308.9,9-16-22,312,321,310,313,
115,8-21-22,1B,C,88.2,9-5-22,22:45,10,0,0,1,8-22-22,29.8,APP,DAC,635.5,8-23-22,319,315,316,314,"sample 1 hemolyzed
sample 2 hemolyzed"
,,,,,,,,,,2,8-29-22,26.8,APP,1WAC,590.9,8-29-22,338,341,NA,NA,
,,,,,,,,,,3,9-5-22,29.3,APP,2WAC,570.7,9-18-22,334,334,329,NA,
,,,,,,,,,,4,9-6-22,27.0,APP,DAB,379.0,9-18-22,359,367,348,355,
116,8-23-22,1,C,79.5,NA,NA,NA,NA,NA,1,8-24-22,31.3,APP,DAC,491.0,8-24-22,313,320,313,312,
,,,,,,,,,,2,8-31-22,27.4,APP,1WAC,476.9,8-31-22,324,322,311,324,
117,8-22-22,1,C,70.0,9-7-22,NA,5,2,1,1,8-23-22,27.5,APP,DAC,356.0,8-23-22,335,299,296,301,
,,,,,,,,,,2,8-30-22,30.4,APP,1WAC,346.1,8-30-22,322,322,323,323,
,,,,,,,,,,3,9-6-22,28.3,APP,2WAC,336.5,9-18-22,345,343,333,345,
119,8-23-22,L4,W,81.3,9-5-22,19:40,10,0,0,1,8-24-22,29.3,APP,DAC,437.8,8-24-22,376,389,372,388,
,,,,,,,,,,2,8-31-22,26.3,APP,1WAC,470.6,8-31-22,335,332,331,336,
,,,,,,,,,,3,9-6-22,29.3,APP,DAB,286.1,9-18-22,323,317,321,NA,
120,8-23-22,1B,W,74.7,NA,NA,NA,NA,NA,1,8-24-22,29.6,APP,DAC,459.2,8-24-22,350,342,337,343,
,,,,,,,,,,2,8-31-22,27.0,APP,1WAC,491.4,8-31-22,324,325,323,322,
,,,,,,,,,,3,9-6-22,29.8,APP,2WAC,481.7,9-16-22,329,328,319,324,
123,8-24-22,Other,C,79.5,NA,NA,NA,NA,NA,1,8-25-22,27.3,APP,DAC,589.4,8-16-22,301,304,299,307,
,,,,,,,,,,2,9-1-22,29.4,APP,1WAC,570.7,9-1-22,315,311,318,307,
124,8-25-22,PB,W,75.5,8-30-22,13:30,6,0,0,1,8-26-22,75.5,APP,DAC,411.9,8-26-22,350,353,353,356,
,,,,,,,,,,2,8-31-22,26.7,APP,DAB,281.2,8/31/22,304,298,301,300,
125,8-25-22,PB,C,80.5,8-26-22,17:30,8,2,0,1,8-26-22,27.6,APP,DAC,494.5,8-26-22,301,292,291,300,sample 3 hemolyzed
,,,,,,,,,,2,8-28-22,27.1,APP,DAB,329.4,8-28-22,289,288,299,289,
,,,,,,,,,,3,9-4-22,27.3,APP,1WAB,271.2,9-15-22,310,308,305,NA,
126,8-25-22,PB,W,91.0,9-1-22,15:30,10,1,0,1,8-26-22,29.5,APP,DAC,785.5,8-26-22,357,348,349,355,
,,,,,,,,,,2,9-2-22,26.8,APP,DAB,570.9,9-2-22,306,308,312,311,
127,8-25-22,PB,W,80.0,9-3-22,19:30,8,0,0,1,8-26-22,28.1,APP,DAC,315.9,8-26-22,339,338,328,336,
,,,,,,,,,,2,9-3-22,28.5,APP,1WAC,519.1,9-14-22,315,325,321,325,
,,,,,,,,,,3,9-4-22,27.7,APP,DAB,346.9,9-15-22,317,313,311,313,
128,8-25-22,PB,W,84.0,8-28-22,22:00,8,2,0,1,8-26-22,28.5,APP,DAC,480.0,8-26-22,350,350,349,348,
,,,,,,,,,,2,8-29-22,25.9,APP,DAB,337.2,8-30-22,303,307,304,306,
,,,,,,,,,,3,9-5-22,24.6,APP,1WAB,329.6,9-16-22,272,269,273,NA,
129,8-25-22,PB,C,73.0,8-28-22,0:30,8,0,1,1,8-26-22,28.3,APP,DAC,463.8,8-26-22,301,300,296,297,
,,,,,,,,,,2,8-28-22,28.8,APP,DAB,282.1,8-28,315,315,314,317,
,,,,,,,,,,3,9-4-22,27.0,APP,1WAB,270.6,9-15-22,324,325,322,329,
130,8-25-22,PB,C,71.5,NA,NA,NA,NA,NA,1,8-26-22,27.4,APP,DAC,374.0,8-26-22,314,315,317,318,
,,,,,,,,,,2,9-3-22,28.5,APP,1WAC,362.4,9-14-22,352,348,355,355,
131,8-25-22,PB,W,74.5,8-30-22,22:37,5,0,1,1,8-26-22,28.3,APP,DAC,386.5,8-26-22,328,332,325,330,
,,,,,,,,,,2,8-31-22,28.8,APP,DAB,291.2,9-1-22,312,308,312,310,
133,8-25-22,PB,C,89.5,8-30-22,14:30,13,1,2,1,8-26-22,27.7,APP,DAC,679.5,8-26-22,313,314,313,337,
,,,,,,,,,,2,8-31-22,28.0,APP,DAB,439.2,9-1-22,340,322,328,326,
134,8-25-22,PB,W,73.0,8-30-22,11:30,8,0,1,1,8-26-22,28.4,APP,DAC,362.0,8-27-22,329,333,332,334,
,,,,,,,,,,2,8-31-22,27.6,APP,DAB,218.7,8-31-22,304,300,312,300,
135,8-25-22,PB,C,72.0,8-27-22,19:39,7,0,0,1,8-26-22,30.0,APP,DAC,388.4,8-27-22,323,320,328,324,
,,,,,,,,,,2,8-28-22,25.8,APP,DAB,239.2,8-28-22,303,299,300,303,
,,,,,,,,,,3,9-4-22,27.6,APP,1WAB,232.6,9-15-22,333,322,323,322,
